Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
cbd-daily-gummies-1005mg,,,,,,,,Blood Orange,HG-CBD1005-BO,120,deny,manual,49.99,true,true,
extra-strength-cbd-gummies,"Extra Strength CBD Gummies — 3150mg","<p>100mg CBD : 5mg THC per gummy. Double the cannabinoid content for experienced users. 30 count. All natural ingredients. Must be 21+ to purchase. Third-party lab tested.</p>",Hazy Grove Farms,Gummies,"extra-strength-cbd, cbd, thc, gummies, extra-strength, contains-thc, 21-plus",true,Flavor,Watermelon,HG-XSCBD-WM,120,deny,manual,59.99,true,true,active
extra-strength-cbd-gummies,,,,,,,,Blue Raspberry,HG-XSCBD-BR,120,deny,manual,59.99,true,true,
extra-strength-cbd-gummies,,,,,,,,Blood Orange,HG-XSCBD-BO,120,deny,manual,59.99,true,true,
thc-free-cbd-gummies,"THC Free CBD Gummies — 1500mg","<p>50mg CBD per gummy, 0mg THC. All the benefits of CBD with zero THC — ideal for those subject to drug testing. 30 count. All natural ingredients. Third-party lab tested.</p>",Hazy Grove Farms,Gummies,"thc-free, cbd, gummies, zero-thc",true,Flavor,Watermelon,HG-THCF-WM,120,deny,manual,34.99,true,true,active
thc-free-cbd-gummies,,,,,,,,Blue Raspberry,HG-THCF-BR,120,deny,manual,34.99,true,true,
thc-free-cbd-gummies,,,,,,,,Blood Orange,HG-THCF-BO,120,deny,manual,34.99,true,true,
microdose-gummies,"Microdose Gummies — 1560mg","<p>50mg CBD : 2mg THC per gummy. A gentle introduction to THC with a low-threshold experience. 30 count. All natural ingredients. Must be 21+ to purchase. Third-party lab tested.</p>",Hazy Grove Farms,Gummies,"microdose, cbd, thc, gummies, contains-thc, 21-plus",true,Flavor,Watermelon,HG-MICRO-WM,120,deny,manual,39.99,true,true,active
microdose-gummies,,,,,,,,Blue Raspberry,HG-MICRO-BR,120,deny,manual,39.99,true,true,
microdose-gummies,,,,,,,,Blood Orange,HG-MICRO-BO,120,deny,manual,39.99,true,true,
thc-recreational-gummies-sativa,"THC Recreational Gummies — Sativa","<p>15mg THC : 10mg CBD : 2mg CBC per gummy. 540mg total. Energizing sativa blend with CBC. 20 count, 6g per gummy. Available in three flavors. Must be 21+ to purchase. Third-party lab tested.</p>",Hazy Grove Farms,Gummies,"thc-recreational, thc, cbd, cbc, gummies, sativa, contains-thc, 21-plus",true,Flavor,Watermelon,HG-REC-SAT-WM,120,deny,manual,44.99,true,true,active
thc-recreational-gummies-sativa,,,,,,,,Blood Orange,HG-REC-SAT-BO,120,deny,manual,44.99,true,true,
thc-recreational-gummies-sativa,,,,,,,,Blue Raspberry,HG-REC-SAT-BR,120,deny,manual,44.99,true,true,
thc-recreational-gummies-indica,"THC Recreational Gummies — Indica","<p>15mg THC : 10mg CBD : 2mg CBN per gummy. 540mg total. Relaxing indica blend with CBN. 20 count, 6g per gummy. Must be 21+ to purchase. Third-party lab tested.</p>",Hazy Grove Farms,Gummies,"thc-recreational, thc, cbd, cbn, gummies, indica, contains-thc, 21-plus",true,Flavor,Watermelon,HG-REC-IND-WM,120,deny,manual,44.99,true,true,active
thc-recreational-gummies-indica,,,,,,,,Blood Orange,HG-REC-IND-BO,120,deny,manual,44.99,true,true,
thc-recreational-gummies-hybrid,"THC Recreational Gummies — Hybrid","<p>15mg THC : 10mg CBD per gummy. 540mg total. Balanced hybrid blend. 20 count, 6g per gummy. Must be 21+ to purchase. Third-party lab tested.</p>",Hazy Grove Farms,Gummies,"thc-recreational, thc, cbd, gummies, hybrid, contains-thc, 21-plus",true,Flavor,Watermelon,HG-REC-HYB-WM,120,deny,manual,44.99,true,true,active
thc-recreational-gummies-hybrid,,,,,,,,Blood Orange,HG-REC-HYB-BO,120,deny,manual,44.99,true,true,
thc-recreational-gummies-hybrid,,,,,,,,Blue Raspberry,HG-REC-HYB-BR,120,deny,manual,44.99,true,true,
sleep-gummies-thc-free,"Sleep Gummies — THC Free","<p>50mg CBD : 2mg CBN per gummy. 1560mg total. Formulated for restful nights with CBD and CBN — zero THC. Natural blackberry flavor. 30 count. Third-party lab tested.</p>",Hazy Grove Farms,Gummies,"sleep, cbd, cbn, gummies, thc-free, blackberry",true,Title,Default Title,HG-SLEEP-THCF,120,deny,manual,34.99,true,true,active
sleep-gummies-extra-strength,"Sleep Gummies — Extra Strength","<p>100mg CBD : 5mg CBN : 5mg THC per gummy. 3300mg total. Maximum strength sleep support. Natural blackberry flavor. 30 count. Must be 21+ to purchase. Third-party lab tested.</p>",Hazy Grove Farms,Gummies,"sleep, cbd, cbn, thc, gummies, extra-strength, blackberry, contains-thc, 21-plus",true,Title,Default Title,HG-SLEEP-XS,120,deny,manual,59.99,true,true,active
sleep-gummies-502mg,"Sleep Gummies — 502mg","<p>502mg total. Natural blackberry flavor sleep gummies with CBD and CBN. 20 count. Third-party lab tested.</p>",Hazy Grove Farms,Gummies,"sleep, cbd, cbn, gummies, blackberry, 502mg",true,Title,Default Title,HG-SLEEP-502,120,deny,manual,34.99,true,true,active
